"Name","Barcode","Tags","Available stock","purchase cost","Sale Price","status"
"KHAS   PREMIO   12B","","","2","1750","1850","published Edit Photos"
"KHAS   PREMIO   12B 3M","","","35","1750","1850","published Edit Photos"
"KITCHEN  ACCESSORIES   WELMAX 009","","","0","4100","3350","published Edit Photos"
"KITCHEN ACCESSORIES   009 I","","","0","1850","3600","published Edit Photos"
"KNOB   SS   FINGER","","","303","18","26","published Edit Photos"
"KONI   HEAVY   1","","","60","6.5","9","published Edit Photos"
"KONI   HEAVY   1.5","","","432","9.375","12","published Edit Photos"
"KONI   HEAVY   2","","","717","12.5","16","published Edit Photos"
"KONI   HEAVY   2.5","","","996","15.625","20","published Edit Photos"
"KONI   HEAVY   3","","","276","18.75","24","published Edit Photos"
"KONI   HEAVY   4","","","215","25","32","published Edit Photos"
"KONI   HEAVY   5","","","768","31.25","40","published Edit Photos"
"KONI   HEAVY   6","","","264","39","48","published Edit Photos"
"LATCH   KHAS   SILIVER","","","0","80","88","published Edit Photos"
"LATCH.  KHAS.  CHAMPAGNE","","","0","77","110","published Edit Photos"
"LED   HINGES","","","59","80","100","published Edit Photos"
"LED   KAMANI","","","37","180","200","published Edit Photos"
"LEG   BLACK   3   SQUARE","","","161","190","240","published Edit Photos"
"LEG   BLACK   4   SQUARE","","","146","210","260","published Edit Photos"
"LEG   SS   2","","","155","44","60","published Edit Photos"
"LEG   SS   2   ROUND   FIX","","","180","74","110","published Edit Photos"
"LEG   SS   2   SQUARE   FIX","","","80","80","95","published Edit Photos"
"LEG   SS   3","","","200","49","65","published Edit Photos"
"LEG   SS   3   ROUND   FIX","","","11","82","95","published Edit Photos"
"LEG   SS   3   SQUARE   FIX","","","20","90","105","published Edit Photos"
"LEG   SS   3   YADEGU","","","130","180","220","published Edit Photos"
"LEG   SS   4","","","177","54","65","published Edit Photos"
"LEG   SS   4   YADEGU","","","-2","200","240","published Edit Photos"
"LEG   SS   5","","","113","60","70","published Edit Photos"
"LEG   SS   5   SQUARE","","","0","98","125","published Edit Photos"
"LEG   SS   6","","","0","65","75","published Edit Photos"
"LEVER LOCK   3030 ET AB   ASPIRE","","","19","1500","1750","published Edit Photos"
"LEVER LOCK   3030 ET AE   ASPIRE","","","0","1500","1650","published Edit Photos"
"LOCK   MAXEL   6411   AB","","","0","2150","2450","published Edit Photos"
"LOCK   MAXEL   6411   SN","","","0","2200","2350","published Edit Photos"
"LOCK   MAXEL   6411   YB","","","3","2200","2450","published Edit Photos"
"LOCK BRASS   GREEN BOX 3","","","3.91666","5200","5500","published Edit Photos"
"LT   ALUNIKI","","","0","880","975","published Edit Photos"
"LT   BLUE   311 AC","","","0","690","850","published Edit Photos"
"LT   MAXEL","","","0","1575","1550","published Edit Photos"
"LT   PMHS   311   CP","","","123","1100","1250","published Edit Photos"
"LT   SMC   311   AB","","","3","1450","1700","published Edit Photos"
"LT DAREEN   883","","","0","1230","1350","published Edit Photos"
"LT LOCK   ARH  200 AB","","","3","910","975","published Edit Photos"
"LT LOCK   EXTREME   311 BLK","","","1","1600","1750","published Edit Photos"
"LT LOCK   FALE   311","","","0","1020","1125","published Edit Photos"
"LT LOCK   FALE   311 BRASS KEY","","","3","1230","1450","published Edit Photos"
"LT LOCK   TREND   9219   AB","","","14","1580","1650","published Edit Photos"
"LT Maximum","","","0","2000","1150","published Edit Photos"
"LT PMHS   883   AC","","","55","1360","1550","published Edit Photos"
"LT SMART   311   AB","","","77","1550","1750","published Edit Photos"
"LT TREND   811   AB","","","10","1900","2350","published Edit Photos"
"MACHINE   4 ROD","","","0","800","950","published Edit Photos"
"MACHINE   MEDIUM   FALE","","","71","300","375","published Edit Photos"
"MACHINE LARGE   BEARING","","","0","600","900","published Edit Photos"
"MAGNET CATCHER   MAXIUM   LARGE","","","600","100","105","published Edit Photos"
"MAGNET CATCHER   MAXIUM   MEDIUM","","","570","72","76","published Edit Photos"
"MAGNET CATCHER   MAXIUM   SMALL","","","0","46","40","published Edit Photos"
"MAGNET CATCHER   MAXIUM  X LARGE","","","0","105","120","published Edit Photos"
"MASTER LOCK   3  3","","","0","350","400","published Edit Photos"
"MICO DEAD LOCK","","","5","490","550","published Edit Photos"
"MICO DEAD LOCK   STAR KEY","","","9","550","650","published Edit Photos"
"MICO HOOK LOCK   PMHS","","","5","490","550","published Edit Photos"
"MIRROR CLIP   PVC","","","15","460","500","published Edit Photos"
"MIRROR CLIP   PVC  WITH SCREW","","","3","720","850","published Edit Photos"
"MIRROR HOLDER ZINC   CHINA","","","101","180","200","published Edit Photos"
"MULTI   7Q   WEL MAX","","","0","5600","6000","published Edit Photos"
"OVAL PIPE   12 FEET IRON","","","67","630","720","published Edit Photos"
"OVAL PIPE BRACKET","","","1162","5","7","published Edit Photos"
"OVAL PIPE BRACKET COVER","","","840","37.5","45","published Edit Photos"
"PAD BOLT   4 STEEL","","","2","140","160","published Edit Photos"
"PAD BOLT   6 STEEL","","","1","150","175","published Edit Photos"
"PAD BOLT   STEEL   8","","","0","160","200","published Edit Photos"
"PAD LOCK   KHAS   63MM","","","61","541.66","583.33","published Edit Photos"
"PAD LOCK   KHAS   75MM","","","5","800","833.33","published Edit Photos"
"PAD LOCK   S   50MM","","","-0.00100998","3280","3400","published Edit Photos"
"PAD LOCK   S  32 MM","","","8.41663","1850","1950","published Edit Photos"
"PAD LOCK   S  38 MM","","","0.9913","2330","2500","published Edit Photos"
"PAD LOCK   S  63 MM","","","-0.41674","4380","4600","published Edit Photos"
"PMHS   12B","","","12","2000","2250","published Edit Photos"
"PMHS   12B 3M","","","24","1900","2150","published Edit Photos"
"PMHS   14B","","","0","2100","2450","published Edit Photos"
"POEWER LOCK","","","20","360","450","published Edit Photos"
"POWER LOCK   2.5","","","0","670","850","published Edit Photos"
"PT 022 D   WEL MAX","","","0","19200","20500","published Edit Photos"
"PTJ 017K","","","0","13000","13650","published Edit Photos"
"PTJ017K- WELMAX","","","0","11500","12000","published Edit Photos"
"PTJ022B- WELLMAX","","","2","25250","26250","published Edit Photos"
"PUMP CLOSER   JIJI   CHAMPION","","","0","730","650","published Edit Photos"
"PUMP CLOSER   KGI   CHAMPAGNE","","","10","850","910","published Edit Photos"
"PUMP CLOSER   SAK   CHAMPION","","","23","715","825","published Edit Photos"
"ROD HANDLE   4   SS","","","11","29","36","published Edit Photos"
"ROD HANDLE   6   SS","","","2232","28.5","37","published Edit Photos"
"ROD HANDLE   8   SS","","","72","38","44","published Edit Photos"
"ROD HANDLE   SS   BLK   4","","","350","42","45","published Edit Photos"
"ROD HANDLE   SS   BLK   6","","","2197","39","50","published Edit Photos"
"ROD HANDLE   SS   BLK   8","","","1","52","60","published Edit Photos"
"ROD HANDLE   SS   GLD   4","","","0","60","65","published Edit Photos"
"ROD HANDLE   SS   GLD   6","","","0","52","70","published Edit Photos"
"ROD HANDLE   SS   GLD   8","","","393","75","80","published Edit Photos"
"ROUND LOCK   5794  AC  ARH BIG","","","29","820","780","published Edit Photos"
"ROUND LOCK   587   SS   AKWA","","","18","480","510","published Edit Photos"
"ROUND LOCK   8791 AB  KBW","","","0","830","880","published Edit Photos"
"ROUND LOCK   8791 AC  KBW","","","0","830","880","published Edit Photos"
"ROUND LOCK   900 AB SAK","","","18","1640","1750","published Edit Photos"
"ROUND LOCK   900 YB SAK","","","42","1640","1750","published Edit Photos"
"ROUND LOCK   96 AB SAK","","","42","1640","1750","published Edit Photos"
"ROUND LOCK   96 YB SAK","","","53","1640","1750","published Edit Photos"
"ROUND LOCK   AKWA   BIG","","","61","800","840","published Edit Photos"
"ROUND LOCK   AR   5892   AB  ARH","","","0","835","880","published Edit Photos"
"ROUND LOCK   AR   8799   AB/GP","","","5","1050","1100","published Edit Photos"
"ROUND LOCK   AR SMALL  5798 AC","","","20","730","780","published Edit Photos"
"ROUND LOCK   D 800 SS  SMC","","","7","1600","1700","published Edit Photos"
"ROUND LOCK   D800  MAB   SMC","","","10","1600","1700","published Edit Photos"
"ROUND LOCK   EURO   AB","","","0","1310","1450","published Edit Photos"
"ROUND LOCK   EURO   AE","","","5","1310","1450","published Edit Photos"
"ROUND LOCK   EURO   BLK","","","21","1310","1450","published Edit Photos"
"ROUND LOCK   EURO   SS","","","0","1310","1450","published Edit Photos"
"ROUND LOCK   EXTREME   H998 SN/CP","","","0","880","990","published Edit Photos"
"ROUND LOCK   GENERATION   118399 AB","","","0","1000","750","published Edit Photos"
"ROUND LOCK   GENERATION   118399 AC","","","44","950","735","published Edit Photos"
"ROUND LOCK   GENERATION   118500 AB","","","48","950","750","published Edit Photos"
"ROUND LOCK   GENERATION   118500 AC","","","0","970","1050","published Edit Photos"
"ROUND LOCK   GENERATION   118500 SS","","","0","740","535","published Edit Photos"
"ROUND LOCK   GENERATION   11960 AB","","","0","970","750","published Edit Photos"
"ROUND LOCK   GENERATION   11960 AC","","","48","950","515","published Edit Photos"
"ROUND LOCK   IHS   8793 AB","","","0","690","735","published Edit Photos"
"ROUND LOCK   IHS   8796 BN/AC","","","0","625","675","published Edit Photos"
"ROUND LOCK   IHS.  90 AB","","","0","1675","1350","published Edit Photos"
"ROUND LOCK   IHS.  90 YB","","","0","1250","1350","published Edit Photos"
"ROUND LOCK   KBW   ET  SS","","","0","490","510","published Edit Photos"
"ROUND LOCK   KHUD AL   5738   AC","","","59","750","750","published Edit Photos"
"ROUND LOCK   KHUD AL   5791   AC","","","0","700","750","published Edit Photos"
"ROUND LOCK   KHUD-AL   5791  SS","","","0","700","750","published Edit Photos"
"ROUND LOCK   KHUD-AL   5791 ET AB","","","0","925","470","published Edit Photos"
"ROUND LOCK   KHUD-AL   5791 ET SS","","","2","770","690","published Edit Photos"
"ROUND LOCK   KHUD-AL   5793  AB","","","79","750","750","published Edit Photos"
"ROUND LOCK   PMHS   101 AB","","","-3","800","575","published Edit Photos"
"ROUND LOCK   PMHS   101 AB BATHROOM","","","0","800","775","published Edit Photos"
"ROUND LOCK   PMHS   102 AB","","","43","800","850","published Edit Photos"
"ROUND LOCK   PMHS   103 AB","","","102","800","850","published Edit Photos"
"ROUND LOCK   PMHS   104 AC","","","67","800","850","published Edit Photos"
"ROUND LOCK   PMHS   106 AC","","","0","550","465","published Edit Photos"
"ROUND LOCK   PMHS   111 BKCP","","","27","1125","1250","published Edit Photos"
"ROUND LOCK   PMHS   112 B/CP","","","14","1100","1150","published Edit Photos"
"ROUND LOCK   PREMIO   8799   BN/CP","","","6","1350","1425","published Edit Photos"
"ROUND LOCK   PREMIO   AC/SP","","","0","835","825","published Edit Photos"
"ROUND LOCK   SAK   5870 AB/B EXCLUSIVE","","","14","2150","2350","published Edit Photos"
"ROUND LOCK   SAK   5871 AB","","","10","800","900","published Edit Photos"
"ROUND LOCK   SAK   800  AB","","","40","1175","1300","published Edit Photos"
"ROUND LOCK   SAK   800  AE","","","20","1175","1300","published Edit Photos"
"ROUND LOCK   SAK   800  SS","","","57","1175","1300","published Edit Photos"
"ROUND LOCK   SAK EXCLUSIVE","","","16","1975","2350","published Edit Photos"
"ROUND LOCK   STI 5791  SN","","","334","510","550","published Edit Photos"
"ROUND LOCK   TRIUMPH   8940 AB","","","24","2100","1225","published Edit Photos"
"ROUND LOCK   TRIUMPH   8940 YB","","","14","2100","1200","published Edit Photos"
"ROUND LOCK   TRIUMPH   8941 AB","","","20","2100","1200","published Edit Photos"
"ROUND LOCK   TRIUMPH   8941 TB","","","25","2050","1200","published Edit Photos"
"ROUND LOCK   TRIUMPH PLUS   40 GP BN","","","0","2000","2100","published Edit Photos"
"ROUND LOCK   TRIUMPH PLUS   40 GP BN","","","0","2000","2100","published Edit Photos"
"ROUND LOCK   WHS   187 AB","","","0","1666.6667","1750","published Edit Photos"
"ROUND LOCK   WHS   187 MAB","","","0","1225","1350","published Edit Photos"
"ROUND LOCK   WHS   187AE","","","0","1666.667","1750","published Edit Photos"
"ROUND LOCK   WHS   804 AB","","","0","1225","1350","published Edit Photos"
"ROUND LOCK   WHS   804 YB","","","0","1225","1350","published Edit Photos"
"ROUND LOCK  IB   960 AC","","","0","825","950","published Edit Photos"
"ROUND LOCK LOCK.  800 AB.  MAXEL","","","0","1050","950","published Edit Photos"
"ROUND LOCK SHOOTER","","","567","60","85","published Edit Photos"
"ROUND LOCK.  IHS   8720 BN/AC","","","0","625","675","published Edit Photos"
"S NAIL   AKH   1 20mm","","","0","350","375","published Edit Photos"
"S NAIL   AKH   1.25 20mm","","","11","350","380","published Edit Photos"
"S NAIL   AKH   1.5 20mm","","","1","350","380","published Edit Photos"
"S NAIL   AKH   3/4 20mm","","","0","350","380","published Edit Photos"
"S NAIL   AKH   4","","","0","255","280","published Edit Photos"
"S NAIL   AKH   5","","","0","290","310","published Edit Photos"
"S NAIL   AKH   6","","","0","290","310","published Edit Photos"
"S NAIL   ARH   1","","","45","255","275","published Edit Photos"
"S NAIL   ARH   1.5","","","17","255","280","published Edit Photos"
"S NAIL   ARH   2","","","38","245","280","published Edit Photos"
"S NAIL   ARH   2.5","","","23","255","280","published Edit Photos"
"S NAIL   ARH   3","","","52","250","275","published Edit Photos"
"SAFTY LOCK   3   3","","","73","325","420","published Edit Photos"
"SAILKOT LOCK   2.5","","","10","780","850","published Edit Photos"
"SAILKOT LOCK   2.5   3 PLY  PLAIN","","","25","450","600","published Edit Photos"
"SCREW DRIVER SET","","","2","350","400","published Edit Photos"
"SELF PIN VACCUM  HEAVY  LOCAL","","","52","330","450","published Edit Photos"
"SELF PIN VACCUM  MEDIUM  LOCAL","","","46","240","300","published Edit Photos"
"SELF PIN WITH VACCUM   CHINA","","","0","8","9","published Edit Photos"
"SHOE TACK   1","","","0","232","250","published Edit Photos"
"SHOE TACK   3/4","","","0","232","250","published Edit Photos"
"SHOE TACK   5/8","","","0","221.4285","250","published Edit Photos"
"SILICONE   G 1200  CLEAR","","","11","330","345","published Edit Photos"
"SILICONE   RTV   CLEAR   300ML","","","2","317","320","published Edit Photos"
"SITARA   3/4  6   AB","","","100","282","295","published Edit Photos"
"SITARA  BEARING   3   AB","","","8","210","225","published Edit Photos"
"SLIDING HANDLE   AB","","","420","30","145","published Edit Photos"
"SLIDING HANDLE   AE","","","281","30","145","published Edit Photos"
"SLIDING HANDLE   SN","","","180","30","145","published Edit Photos"
"SLINDING BOLT   4","","","0","760","880","published Edit Photos"
"SLINDING BOLT   8","","","0","250","300","published Edit Photos"
"SLINDING HANDLE   ALU","","","6.00003","540","650","published Edit Photos"
"SOFA   LEG   SS   SQAURE   3","","","0","260","280","published Edit Photos"
"SOFA   LEG   SS   SQAURE   4","","","0","280","280","published Edit Photos"
"SOFA   LEG   SS   SQAURE   5","","","0","300","320","published Edit Photos"
"SOFA LEG   SS   3   KHAS","","","0","240","260","published Edit Photos"
"SOFA LEG   SS   4   KHAS","","","0","260","280","published Edit Photos"
"SPACER  STEEL 25 25","","","100","45","50","published Edit Photos"
"SPACER  STEEL 25 40","","","112","49","950","published Edit Photos"
"ST LOCK   1.5   LOCAL","","","1.5","2480","2700","published Edit Photos"
"STOPPER   K SON ALUMUIM","","","254","155","175","published Edit Photos"
"STOPPER   MAX   AB","","","0","90","160","published Edit Photos"
"STOPPER   PMHS   SS","","","40","90","110","published Edit Photos"
"STOPPER   PMHS  AB   HEAVY","","","38","230","270","published Edit Photos"
"STOPPER   PMHS  AE   HEAVY","","","48","230","270","published Edit Photos"
"SUPER EDGR ORIGINAL","","","15","315","330","published Edit Photos"
"SUPER LINK LOCK   2","","","4","510","600","published Edit Photos"
"TOWER BOLT   2   IRON","","","-3.98334","330","360","published Edit Photos"
"TOWER BOLT   3   AC   KASHAN","","","0","580","680","published Edit Photos"
"TOWER BOLT   3   AC   SOLOX","","","6","360","390","published Edit Photos"
"TOWER BOLT   3 ALUMNIUM","","","12","790","820","published Edit Photos"
"TOWER BOLT   4   AB   KASHAN","","","20.8333","700","880","published Edit Photos"
"TOWER BOLT   4   AB   LMT","","","5.91723","740","880","published Edit Photos"
"TOWER BOLT   4   AC   KASHAN","","","36.33266","660","760","published Edit Photos"
"TOWER BOLT   4   AC   SOLOX","","","6","500","540","published Edit Photos"
"TOWER BOLT   4 1/2  AE   KASHAN","","","5.5","1200","1340","published Edit Photos"
"TOWER BOLT   4 ALUNIUM","","","25.5099","820","930","published Edit Photos"
"TOWER BOLT   6   AB   KASHAN","","","4","1050","1320","published Edit Photos"
"TOWER BOLT   6   AB   LMT","","","0.25","1110","1320","published Edit Photos"
"TOWER BOLT   6   AC   KASHAN","","","5.49999","990","1140","published Edit Photos"
"TOWER BOLT   6 1/2   AE   KASHAN","","","7.24958","1800","2010","published Edit Photos"
"TOWER BOLT   6 ALUMIUM","","","10.3333","1230","1350","published Edit Photos"
"TOWER BOLT   8   AB   LMT","","","-0.00037298","2640","1680","published Edit Photos"
"TOWER BOLT   8   KHAS  STEEL AB","","","189","160","200","published Edit Photos"
"TOWER BOLT   8   KHAS  STEEL SS","","","182","130","160","published Edit Photos"
"TOWER BOLT   8 1/2   AE   KASHAN","","","8.08326","2400","2680","published Edit Photos"
"TOWER BOLT   8 ALUMNIUM","","","0","1480","1700","published Edit Photos"
"U CLIP  8 MM   LOCAL","","","0","700","850","published Edit Photos"
"VIEWER   AB   KHAS","","","5","460","275","published Edit Photos"
"VIEWER   SS   KHAS","","","0","460","275","published Edit Photos"
"WASHROOM GRIP   10","","","118","260","320","published Edit Photos"
"WASHROOM GRIP   12","","","27","280","380","published Edit Photos"
"WASHROOM GRIP   8","","","165","240","300","published Edit Photos"
"WHEEL   BLACK   1.5","","","158","490","550","published Edit Photos"
"WHEEL   BLACK   2","","","171","570","650","published Edit Photos"
"WHEEL   BLACK   3","","","0","1290","1350","published Edit Photos"
"WHEEL   BLACK   4","","","0","1375","1680","published Edit Photos"
"WHEEL   BLACK 2.5","","","26","1650","1300","published Edit Photos"
"WHEEL   KHAS   3/4   JIRI","","","1700","30","33","published Edit Photos"
"WHEEL   SOMART   1  PLAIN","","","400","82","85","published Edit Photos"
"WHEEL   SOMART   3/4   PLAIN","","","50","37","40","published Edit Photos"
"WHEEL   SOMART   JIRI   1","","","530","82","85","published Edit Photos"
"WHEEL   SOMART   JIRI   3/4","","","0","37","40","published Edit Photos"
"WHEEL   SOMART   PLAIN   3/4","","","0","1900","2800","published Edit Photos"
"WINDOW LATCH   LOCAL CHAMPAGNE   2 SIDE","","","0","65","95","published Edit Photos"
"WINDOW LATCH  LOCAL  CHALPION","","","200","52","65","published Edit Photos"